2016-04-20 22:07:54 startup archives install
2016-04-20 22:07:54 install base-passwd:armhf <none> 3.5.39
2016-04-20 22:07:54 status half-installed base-passwd:armhf 3.5.39
2016-04-20 22:07:55 status unpacked base-passwd:armhf 3.5.39
2016-04-20 22:07:55 status unpacked base-passwd:armhf 3.5.39
2016-04-20 22:07:55 configure base-passwd:armhf 3.5.39 3.5.39
2016-04-20 22:07:55 status unpacked base-passwd:armhf 3.5.39
2016-04-20 22:07:55 status half-configured base-passwd:armhf 3.5.39
2016-04-20 22:07:55 status installed base-passwd:armhf 3.5.39
2016-04-20 22:07:55 startup archives install
2016-04-20 22:07:55 install base-files:armhf <none> 9.4ubuntu4
2016-04-20 22:07:55 status half-installed base-files:armhf 9.4ubuntu4
2016-04-20 22:07:56 status unpacked base-files:armhf 9.4ubuntu4
2016-04-20 22:07:56 status unpacked base-files:armhf 9.4ubuntu4
2016-04-20 22:07:56 configure base-files:armhf 9.4ubuntu4 9.4ubuntu4
2016-04-20 22:07:56 status unpacked base-files:armhf 9.4ubuntu4
2016-04-20 22:07:56 status unpacked base-files:armhf 9.4ubuntu4
2016-04-20 22:07:56 status unpacked base-files:armhf 9.4ubuntu4
2016-04-20 22:07:56 status unpacked base-files:armhf 9.4ubuntu4
2016-04-20 22:07:56 status unpacked base-files:armhf 9.4ubuntu4
2016-04-20 22:07:56 status unpacked base-files:armhf 9.4ubuntu4
2016-04-20 22:07:56 status unpacked base-files:armhf 9.4ubuntu4
2016-04-20 22:07:56 status unpacked base-files:armhf 9.4ubuntu4
2016-04-20 22:07:56 status unpacked base-files:armhf 9.4ubuntu4
2016-04-20 22:07:56 status unpacked base-files:armhf 9.4ubuntu4
2016-04-20 22:07:56 status unpacked base-files:armhf 9.4ubuntu4
2016-04-20 22:07:56 status half-configured base-files:armhf 9.4ubuntu4
2016-04-20 22:07:56 status installed base-files:armhf 9.4ubuntu4
2016-04-20 22:07:57 startup archives install
2016-04-20 22:07:57 upgrade dpkg 1.18.4ubuntu1 1.18.4ubuntu1
2016-04-20 22:07:57 status half-configured dpkg 1.18.4ubuntu1
2016-04-20 22:07:57 status unpacked dpkg 1.18.4ubuntu1
2016-04-20 22:07:57 status half-installed dpkg 1.18.4ubuntu1
2016-04-20 22:07:57 status half-installed dpkg 1.18.4ubuntu1
2016-04-20 22:07:57 status unpacked dpkg:armhf 1.18.4ubuntu1
2016-04-20 22:07:57 status unpacked dpkg:armhf 1.18.4ubuntu1
2016-04-20 22:07:58 configure dpkg:armhf 1.18.4ubuntu1 1.18.4ubuntu1
2016-04-20 22:07:58 status unpacked dpkg:armhf 1.18.4ubuntu1
2016-04-20 22:07:58 status unpacked dpkg:armhf 1.18.4ubuntu1
2016-04-20 22:07:58 status unpacked dpkg:armhf 1.18.4ubuntu1
2016-04-20 22:07:58 status unpacked dpkg:armhf 1.18.4ubuntu1
2016-04-20 22:07:58 status unpacked dpkg:armhf 1.18.4ubuntu1
2016-04-20 22:07:58 status half-configured dpkg:armhf 1.18.4ubuntu1
2016-04-20 22:07:58 status installed dpkg:armhf 1.18.4ubuntu1
2016-04-20 22:07:58 startup archives install
2016-04-20 22:08:00 install libc6:armhf <none> 2.23-0ubuntu3
2016-04-20 22:08:00 status half-installed libc6:armhf 2.23-0ubuntu3
2016-04-20 22:08:01 status unpacked libc6:armhf 2.23-0ubuntu3
2016-04-20 22:08:01 status unpacked libc6:armhf 2.23-0ubuntu3
2016-04-20 22:08:01 configure libc6:armhf 2.23-0ubuntu3 2.23-0ubuntu3
2016-04-20 22:08:01 status unpacked libc6:armhf 2.23-0ubuntu3
2016-04-20 22:08:01 status unpacked libc6:armhf 2.23-0ubuntu3
2016-04-20 22:08:01 status half-configured libc6:armhf 2.23-0ubuntu3
2016-04-20 22:08:02 status installed libc6:armhf 2.23-0ubuntu3
2016-04-20 22:08:02 startup archives install
2016-04-20 22:08:02 install perl-base:armhf <none> 5.22.1-9
2016-04-20 22:08:02 status half-installed perl-base:armhf 5.22.1-9
2016-04-20 22:08:03 status unpacked perl-base:armhf 5.22.1-9
2016-04-20 22:08:03 status unpacked perl-base:armhf 5.22.1-9
2016-04-20 22:08:03 configure perl-base:armhf 5.22.1-9 5.22.1-9
2016-04-20 22:08:03 status unpacked perl-base:armhf 5.22.1-9
2016-04-20 22:08:04 status half-configured perl-base:armhf 5.22.1-9
2016-04-20 22:08:04 status installed perl-base:armhf 5.22.1-9
2016-04-20 22:08:04 startup archives install
2016-04-20 22:08:04 install mawk:armhf <none> 1.3.3-17ubuntu2
2016-04-20 22:08:04 status half-installed mawk:armhf 1.3.3-17ubuntu2
2016-04-20 22:08:04 status unpacked mawk:armhf 1.3.3-17ubuntu2
2016-04-20 22:08:04 status unpacked mawk:armhf 1.3.3-17ubuntu2
2016-04-20 22:08:04 configure mawk:armhf 1.3.3-17ubuntu2 1.3.3-17ubuntu2
2016-04-20 22:08:04 status unpacked mawk:armhf 1.3.3-17ubuntu2
